pseudo_id,tracklet_id
0,66.1/001/0
1,66.1/002/0
2,66.1/002/1
3,66.1/002/2
4,66.1/003/0
5,66.1/003/1
6,66.1/003/2
7,66.1/003/3
8,66.1/003/4
9,66.1/004/0
10,66.1/005/0
11,66.1/005/1
12,66.1/005/2
13,66.1/006/0
14,66.1/007/0
15,66.1/008/0
16,66.1/008/1
17,66.1/009/0
18,66.1/009/1
19,66.1/010/0
20,66.1/010/1
21,66.1/010/2
22,66.1/010/3
23,66.1/010/4
24,66.1/010/5
25,66.1/010/6
26,66.1/011/0
27,66.1/011/1
28,66.1/011/2
29,66.1/011/3
30,66.1/011/4
31,66.1/012/0
32,66.1/012/1
33,66.1/013/0
34,66.1/013/1
35,66.1/014/0
36,66.1/015/0
37,66.1/015/1
38,66.1/015/2
39,66.1/015/3
40,66.1/016/0
41,66.1/016/1
42,66.1/016/2
43,66.1/017/0
44,66.1/018/0
45,66.1/019/0
46,66.1/020/0
47,66.1/020/1
48,66.1/020/2
49,66.1/021/0
50,66.1/022/0
51,66.1/022/1
52,66.1/022/2
53,66.1/023/0
54,66.1/024/0
55,66.1/025/0
56,66.1/026/0
57,66.1/028/0
58,66.1/028/1
59,66.1/028/2
60,66.1/028/3
61,66.1/029/0
62,66.1/030/0
63,66.1/030/1
64,66.128/001/0
65,66.128/001/1
66,66.128/001/2
67,66.128/001/3
68,66.128/002/0
69,66.128/002/1
70,66.128/002/2
71,66.128/002/3
72,66.128/003/0
73,66.128/003/1
74,66.128/003/2
75,66.128/003/3
76,66.128/003/4
77,66.128/003/5
78,66.128/003/6
79,66.128/003/7
80,66.128/006/0
81,66.128/007/0
82,66.128/010/0
83,66.128/012/0
84,66.128/012/1
85,66.128/012/2
86,66.128/012/3
87,66.128/012/4
88,66.128/012/5
89,66.128/012/6
90,66.128/013/0
91,66.128/013/1
92,66.128/014/0
93,66.128/014/1
94,66.128/016/0
95,66.128/016/1
96,66.128/016/2
97,66.128/017/0
98,66.128/017/1
99,66.128/017/2
100,66.128/017/3
101,66.128/019/0
102,66.128/019/1
103,66.128/019/2
104,66.128/019/3
105,66.128/019/4
106,66.128/019/5
107,66.128/024/0
108,66.128/024/1
109,66.128/024/2
110,66.128/024/3
111,66.128/025/0
112,66.128/025/1
113,66.128/025/2
114,66.128/025/3
115,66.128/025/4
116,66.128/025/5
117,66.128/025/6
118,66.128/025/7
119,66.128/025/8
120,66.128/028/0
121,66.128/029/0
122,66.128/030/0
123,66.128/030/1
124,66.128/030/2
125,66.128/034/0
126,66.128/035/0
127,66.128/035/1
128,66.128/042/0
129,66.128/043/0
130,66.128/043/1
131,66.128/043/2
132,66.128/043/3
133,66.128/043/4
134,66.128/043/5
135,66.128/043/6
136,66.128/043/7
137,66.128/043/8
138,66.128/046/0
139,66.128/049/0
140,66.128/058/0
141,66.128/058/1
142,66.128/058/2
143,66.128/059/0
144,66.128/059/1
145,66.128/059/2
146,66.128/059/3
147,66.128/059/4
148,66.128/059/5
149,66.128/059/6
150,66.128/059/7
151,66.128/059/8
152,66.128/060/0
153,66.128/060/1
154,66.128/060/2
155,66.128/060/3
156,66.128/060/4
157,66.128/060/5
158,66.128/060/6
159,66.128/060/7
160,66.128/060/8
161,66.128/060/9
162,66.128/060/10
163,66.128/060/11
164,66.128/060/12
165,66.128/060/13
166,66.128/060/14
167,66.128/060/15
168,66.128/060/16
169,66.128/060/17
170,66.128/060/18
171,66.128/060/19
172,66.128/060/20
173,66.128/060/21
174,66.128/060/22
175,66.128/060/23
176,66.128/062/0
177,66.128/069/0
178,66.128/069/1
179,66.128/069/2
180,66.128/069/3
181,66.128/070/0
182,66.128/070/1
183,66.128/070/2
184,66.128/070/3
185,66.128/070/4
186,66.128/070/5
187,66.128/070/6
188,66.128/070/7
189,66.128/071/0
190,66.128/072/0
191,66.128/072/1
192,66.128/073/0
193,66.128/073/1
194,66.128/073/2
195,66.128/074/0
196,66.128/074/1
197,66.128/074/2
198,66.128/074/3
199,66.128/075/0
200,66.128/075/1
201,66.128/075/2
202,66.128/075/3
203,66.128/075/4
204,66.128/075/5
205,66.128/075/6
206,66.128/075/7
207,66.128/076/0
208,66.128/076/1
209,66.128/076/2
210,66.128/076/3
211,66.128/076/4
212,66.128/076/5
213,66.128/076/6
214,66.128/076/7
215,66.128/076/8
216,66.128/076/9
217,66.128/076/10
218,66.128/076/11
219,66.128/077/0
220,66.128/077/1
221,66.128/077/2
222,66.128/078/0
223,66.128/078/1
224,66.128/078/2
225,66.128/079/0
226,66.128/080/0
227,66.128/080/1
228,66.128/080/2
229,66.130/001/0
230,66.130/003/0
231,66.130/003/1
232,66.130/004/0
233,66.130/004/1
234,66.130/004/2
235,66.130/004/3
236,66.130/011/0
237,66.130/012/0
238,66.130/012/1
239,66.130/012/2
240,66.130/013/0
241,66.130/017/0
242,66.130/019/0
243,66.130/019/1
244,66.130/025/0
245,66.130/028/0
246,66.130/028/1
247,66.130/030/0
248,66.130/033/0
249,66.130/033/1
250,66.130/033/2
251,66.130/033/3
252,66.130/033/4
253,66.130/033/5
254,66.130/033/6
255,66.130/033/7
256,66.130/033/8
257,66.130/033/9
258,66.130/033/10
259,66.130/033/11
260,66.130/033/12
261,66.130/033/13
262,66.130/033/14
263,66.130/033/15
264,66.130/033/16
265,66.130/033/17
266,66.130/033/18
267,66.130/033/19
268,66.130/033/20
269,66.130/033/21
270,66.130/033/22
271,66.130/033/23
272,66.130/033/24
273,66.130/035/0
274,66.130/035/1
275,66.130/035/2
276,66.130/037/0
277,66.130/037/1
278,66.130/037/2
279,66.130/037/3
280,66.130/037/4
281,66.130/037/5
282,66.130/037/6
283,66.130/037/7
284,66.130/037/8
285,66.130/037/9
286,66.130/037/10
287,66.130/037/11
288,66.130/037/12
289,66.130/037/13
290,66.130/037/14
291,66.130/037/15
292,66.130/038/0
293,66.130/038/1
294,66.130/038/2
295,66.130/038/3
296,66.130/038/4
297,66.130/038/5
298,66.130/038/6
299,66.130/038/7
300,66.130/038/8
301,66.130/038/9
302,66.130/038/10
303,66.130/038/11
304,66.130/038/12
305,66.130/038/13
306,66.130/038/14
307,66.130/038/15
308,66.130/038/16
309,66.130/038/17
310,66.130/038/18
311,66.130/038/19
312,66.130/038/20
313,66.130/042/0
314,66.130/042/1
315,66.130/042/2
316,66.130/042/3
317,66.130/042/4
318,66.130/042/5
319,66.130/042/6
320,66.130/042/7
321,66.130/042/8
322,66.130/042/9
323,66.130/042/10
324,66.130/042/11
325,66.130/042/12
326,66.130/042/13
327,66.130/044/0
328,66.130/044/1
329,66.130/044/2
330,66.130/044/3
331,66.130/046/0
332,66.130/046/1
333,66.130/047/0
334,66.130/047/1
335,66.130/050/0
336,66.130/051/0
337,66.130/053/0
338,66.130/053/1
339,66.130/053/2
340,66.130/053/3
341,66.130/053/4
342,66.130/053/5
343,66.130/053/6
344,66.130/053/7
345,66.130/053/8
346,66.130/053/9
347,66.130/053/10
348,66.130/053/11
349,66.130/056/0
350,66.130/057/0
351,66.130/058/0
352,66.130/058/1
353,66.130/058/2
354,66.130/058/3
355,66.130/058/4
356,66.130/058/5
357,66.130/058/6
358,66.130/058/7
359,66.130/058/8
360,66.130/058/9
361,66.130/058/10
362,66.130/058/11
363,66.130/058/12
364,66.130/058/13
365,66.130/058/14
366,66.130/058/15
367,66.130/058/16
368,66.130/058/17
369,66.130/058/18
370,66.130/058/19
371,66.130/058/20
372,66.130/058/21
373,66.130/058/22
374,66.130/058/23
375,66.130/058/24
376,66.130/061/0
377,66.130/061/1
378,66.130/061/2
379,66.130/061/3
380,66.130/066/0
381,66.130/066/1
382,66.130/068/0
383,66.130/068/1
384,66.130/068/2
385,66.130/071/0
386,66.130/081/0
387,66.130/081/1
388,66.130/081/2
389,66.130/081/3
390,66.130/082/0
391,66.130/082/1
392,66.130/082/2
393,66.130/082/3
394,66.130/082/4
395,66.130/082/5
396,66.130/083/0
397,66.130/083/1
398,66.130/084/0
399,66.130/084/1
400,66.130/084/2
401,66.130/085/0
402,66.130/085/1
403,66.130/085/2
404,66.130/085/3
405,66.130/085/4
406,66.130/085/5
407,66.130/085/6
408,66.130/085/7
409,66.130/085/8
410,66.130/086/0
411,66.130/086/1
412,66.130/086/2
413,66.130/086/3
414,66.130/086/4
415,66.130/086/5
416,66.130/087/0
417,66.130/087/1
418,66.130/087/2
419,66.130/087/3
420,66.130/087/4
421,66.130/087/5
422,66.130/087/6
423,66.130/087/7
424,66.130/087/8
425,66.130/088/0
426,66.130/088/1
427,66.130/088/2
428,66.130/088/3
